SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"hubka.de","-","-","PH: -","",0,"","","","",""
2,"de.indeed.com","-","-","PH: -","",0,"","","","",""
3,"my-hammer.de","-","-","PH: -","",105021,"","","","",""
4,"maler-baur.com","mail@maler-baur.com","Unknown","PH: 0891296877","",0,"","","","",""
5,"malereifischer.de","info@malereifischer.de","Unknown","PH: ","",0,"https://de-de.facebook.com/malereifischer/","","","",""
6,"moser-sanierung.de","malerei.moser@t-online.de","Business Mail","PH: +49897257878","",0,"","","","",""
7,"dotzler-bauunternehmung.de","-","-","PH: -","",0,"","","","",""
8,"maler-rebel.de","-","-","PH: -","",0,"","","","",""
9,"maler-doldi.de","info@maler-doldi.de","Unknown","PH: +49(0)8192-997269, +49(0)8192-997252, +49(0)8192997269, +49(0)8192997252, +49(0)8920342622","",0,"","","","",""
10,"aadeco-gmbh.de","aadeco-gmbh@hotmail.de","Hotmail","PH: +4989156897, +491708116056, 089156897","",0,"https://www.facebook.com/aadecomalermuenchen/","","","",""
11,"aadeco-gmbh.de","gmbh@hotmail.de","Hotmail","PH: +4989156897, +491708116056, 089156897","",0,"https://www.facebook.com/aadecomalermuenchen/","","","",""
12,"malerei-wirth.de","info@malerei-wirth.de","Hotmail","PH: ","",0,"","","","",""
13,"malerei-wirth.de","martinwirth@malerei-wirth.de","Hotmail","PH: ","",0,"","","","",""
14,"heckler-malermeister.de","-","-","PH: +49898122739","",0,"","","","",""
15,"mal-tec.com","info@mal-tec.com","Hotmail","PH: ","",0,"","","","",""
16,"maler-strahl.de","info@maler-strahl.de","Unknown","PH: ","",0,"https://www.facebook.com/pg/andydasch1102/photos/","","","",""
17,"malerbetrieb-stosio.de","danielstosio@yahoo.com","Yahoo Mail","PH: +491704963272","",0,"","","","",""
18,"maler-betrieb-muenchen.de","krems@maler-betrieb-muenchen.de","Unknown","PH: 08954558304","Software Development",0,"","","","",""
19,"diakonia-malerfachbetrieb.de"," maler@diakonia.de","Unknown","PH: +498912159590, +4912159590","",0,"https://de-de.facebook.com/diakonia.muenchen","","https://www.youtube.com/channel/ucl3ikk0ymxfzatdiqyleama","",""
20,"diakonia-malerfachbetrieb.de","maler@diakonia.de","Unknown","PH: +498912159590, +4912159590","",0,"https://de-de.facebook.com/diakonia.muenchen","","https://www.youtube.com/channel/ucl3ikk0ymxfzatdiqyleama","",""
21,"luettgens-muenchen.de","info@luettgens-muenchen.de","Hotmail","PH: +4989682058","",0,"","","","",""
22,"maler-sammer.de","mail@maler-sammer.de","Hotmail","PH: 0049897146942","",0,"https://www.facebook.com/malereibetriebsammer","","","",""
23,"muenchen-maler.de","kontakt@muenchen-maler.de","Mail.com","PH: 08996061003","",0,"https://www.facebook.com/malermeisterbetrieb-schwarz-102009627848960/","","","",""
24,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
25,"maler-muenchen-gobbel.de","info@maler-muenchen-gobbel.de","Unknown","PH: +498974327979, +491776374625","",0,"https://www.facebook.com/malerbetrieb-gobbel-107639748610100","","","",""
26,"maler-klix.de","info@maler-klix.de","Unknown","PH: ","",0,"","","","",""
27,"maler-klix.de","klix@malerklix.de","Unknown","PH: ","",0,"","","","",""
28,"modernamaler.de","modernagmbh@t-online.de","Business Mail","PH: +49894310794","",0,"","","","",""
29,"de.wikipedia.org","-","-","PH: -","",266,"","","","",""
30,"art-heinze.de","info@art-heinze.de","Unknown","PH: ","",0,"","","","",""
31,"gelbeseiten.de","-","-","PH: -","",32843,"","","","",""
32,"dein-maler-muenchen.de","info@dein-maler-muenchen.de","Unknown","PH: +491743058959, +498923546360","",0,"https://www.facebook.com/deinmalermuenchen/","","","",""
33,"heinrich-schmid.com","-","-","PH: -","",546643,"https://www.facebook.com/teamheinrichschmid/","","https://www.youtube.com/channel/ucpplxwjmvfyoqks2yv6y3fq","https://www.linkedin.com/company/heinrichschmid/",""
34,"malermeister-hirschberg.de","info@malermeister-hirschberg.de","Business Mail","PH: +4917625666966, 017625666966","",0,"","","","",""
35,"reinhold-knoll.de","info@reinhold-knoll.de","Business Mail","PH: +49897231922","",0,"https://www.facebook.com/reinholdknollgmbh","","","",""
36,"peterbaagt.de","peter.baagt@web.de","Business Mail","PH: +491728334617, ++491728334617","Software Development",0,"","","","",""
37,"peterbaagt.de","baagt@web.de","Business Mail","PH: +491728334617, ++491728334617","Software Development",0,"","","","",""
38,"kuehberger-gmbh.de","info@kuehberger-gmbh.de","Hotmail","PH: ","",0,"https://www.facebook.com/k%c3%9chberger-gmbh-314926265302708/","","","",""
39,"maler-muenchen.de","-","-","PH: +49896117888","",0,"","","","",""
40,"maler-weim.de","-","-","PH: -","Software Development",0,"","","","",""
41,"malerweihbetrieb.de","-","-","PH: +498974861542","",0,"","","","",""
42,"anjo.de","anjo@anjo.de","Unknown","PH: +498944900477","",0,"","","","",""
43,"malermeister-kiper.de","info@malermeister-kiper.de","Unknown","PH: +4917664075415","",0,"https://www.facebook.com/malermeisterkiper/","","","",""
44,"bmzgmbh.de","anfragen@bmzgmbh.de","Unknown","PH: ","",0,"","","","",""
45,"maler-schlueter.de","-","-","PH: -","Arts",0,"https://www.facebook.com/malerschlueter","","","","//de.pinterest.com/pin/create/extension/"
46,"malerblakaj.de","info@malerblakaj.de","Unknown","PH: +491796808437","",0,"","","","",""
47,"malerbetrieb-goeringer.de","info@malerbetrieb-goeringer.de","Unknown","PH: ","",0,"https://www.facebook.com/malergoeringer/","","","",""
48,"mm-malermeisterbetrieb.de","info@mm-malermeisterbetrieb.de","Business Mail","PH: ","Arts",0,"https://www.facebook.com/wand-objektdesign-111698650428886","","","",""
49,"check24.de","-","-","PH: -","",21142,"","","","",""
50,"muenchen.de","-","-","PH: -","",5937,"https://www.facebook.com/muenchen","https://twitter.com/muenchen","https://www.youtube.com/user/muenchendevideos","",""
51,"malerbetrieb-schume.de","info@malerbetrieb-schume.de","Unknown","PH: +49(0)892608806","",0,"","","","",""
52,"jobs.meinestadt.de","-","-","PH: -","Schools & Education",0,"https://de-de.facebook.com/meinestadt.de/","https://twitter.com/meinestadt_de","","",""
53,"armagan-maler.de","meister@armagan-maler.de","Unknown","PH: ","",0,"https://www.facebook.com/malermeisterarmagan/","","https://www.youtube.com/channel/uczjr7laj95xzwf0qgfwunza","",""
54,"malerinnung-muenchen.de","-","-","PH: -","",0,"","","https://www.youtube.com/channel/ucpjl87sdfn1e6idb5ysp-oq","",""
55,"maler-fassnacht.de","mail@christian-eblenkamp.de","Business Mail","PH: 0898999610","",0,"","","","",""
56,"maler-fassnacht.de","fassnacht@fassnacht-gmbh.de","Hotmail","PH: 0898999610","",0,"","","","",""
